CountryEnglish,ISO3v10,ContinentName,Continent,CountryCode,CountryCodeLong,UNRegion,ISO2,UNSDCode,Resolution,PopulationPerUnit,Area,LevelUsed,Level1Type,Level2Type,Level3Type,Level4Type,Level5Type,NumUnits,RefYearFirst,RefYearLast,P90E ('000),P95E ('000),P00E  ('000),UN_P90 ('000),UN_P95 ('000),UN_P00 ('000),Diff90,Diff00,Source Data: Boundaries,Source Data: Population,Edits and Notes: Spatial,Edits and Notes: Population,Num Settlement Points,Largest Point (pop),Smallest Point (pop),Mean Point (pop),Urban Criteria (UN),Num Urban Extents,Largest Extent (sq.km),Smallest Extent (sq.km),Mean Extent (sq.km),Sum-All Urban Extents (sq.km),Largest Extent (pop),Smallest Extent (pop),Mean Extent (pop),Sum-All Urban Extents (pop),Pct Total Land Area in Urban Extents (sq.km),"Pct Total Population in Urban Extents (2000,NSO est.)","Pct Total Population that is urban (2000,UN)",Num UE's from Nighttime Lights ,Num UE's from Regressions,Num UE's from DCW ,Num UE's from other sources,Settlement Point Population Source,Settlement Point Coordinate Source
Saint Kitts and Nevis,KNA,North America,2,662,66205,Caribbean,KN,659,12,19,277,1,Islands,,,,,2,,,42,40,38,42,40,38,0.31,-1.24,Digital Chart of the World (DCW).,"United Nations. ""World Population Prospects: 2000 Revision. Vol 1. Comprehensive Tables,"" UN: NY 2001. The values given are population estimates.",,,4,"13,311","1,033","4,354.50",Basseterre and Charlestown.,2,149,88,118.83,238,"27,094","7,238","17,166.00","34,332",85.90,89.24,34.20,2,0,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",World Gazetteer
Saint Lucia,LCA,North America,2,663,66305,Caribbean,LC,662,25,148,620,0,,,,,,1,,,131,140,148,131,140,148,-0.32,0.15,Digital Chart of the World (DCW).,"""World Population Prospects: 2000 Revision. Vol 1. Comprehensive Tables,"" UN: NY 2001. The values given are for estimates.",,"Population data were extrapolated to target years of 1990, 1995 and 2000 using growth rates derived from United Nations national level estimates and projections.",9,"59,927","1,124","8,959.67",Castries (capital city).,3,220,32,119.65,359,"64,788","8,583","33,283.00","99,849",57.92,67.56,38.00,3,0,0,0,"World Gazetteer, www.gazetteer.de",World Gazetteer
Mexico,MEX,North America,2,496,49605,Central America,MX,484,28,40,"1,943,018",2,Estado,Municipio,,,,2414,1990,2000,"81,217","88,523","97,385","83,223","91,138","98,872",2.41,1.50,"Mapa Geoestadístico. Secretaría de Programación y Presupuesto (S.P.P.). 1981. Escala 1:1000000 con información del X Censo de Población y Vivienda de 1980. 4 hojas (pages): Norte, Centro, Noroeste y Sudeste.  The Oaxaca internal boundaries from CIESIN's Georeferenced Population Datasets of Mexico - GIS Coverage of Mexican Localities, http://sedac.ciesin.columbia.edu/home-page/mexico.html","1990 and 2000 municpio data downloaded from SIMBAD, 28 April 2004; Database: Base de Datos Municipal INEGI from http://www.inegi.gob.mx/inegi/default.asp . ",The Estado of Oaxaca was taken from a different source and merged with the rest of the Mexico estados,"Based on the comparisons between the boundary data and INEGI's interactive map (http://galileo.inegi.gob.mx/website/mexico/viewer.htm), recent boundary divisions were accomodated in the following attribution of population: 
· In Aguascalientes, the populations of El Llano and San Francisco de los Romo are added to the municipio Aguascalientes.  
· In Baja California, population of Playas de Rosarito added to Tijuana.  
· In Baja California Sur, population of Loreto added to Comondu; population of Los Cabos added to La Paz.  
· In Campeche, population of Calakmul added to Chamopoton; population of Candelaria added to Carmen; Escárcega, Carmen and Chamopoton are merged and assigned a single, total population value. 
· In Chiapas, population of Aldama added to Chenalho; populations of Benemérito de las Américas and Marqués de Comillas are added to Ocosingo; population of Maravilla Tenejapa added to Las Margaritas; population of Montecristo de Guerrero added to Angel Albino Corzo; population of San Andrés Duraznal added to Simojovel; and population of Santiago el Pinar added to San Adres Larrainzal; population of  Unión Juárez added to Cacahoatan; population of San Juan Cancuc added to Sitalla.  
· In Guerrero, population of Acatepec added to Zapotitlán Tablas.  
· In Mexico, population of Valle de Chalco Solidaridad added to Ixtapaluca.   
· In Quintna Roo, population Solidaridad added to Cozumel.  
· In San Luis Potosí, population of Matlapa added to Tamazunchale; and population of El Naranjo added to Ciudad de Maiz.
· In Sonora, populations of San Ignacio Río Muerto and Benito Juárez are added to Huatabampo.
· In Tlaxcala: 
     o population of Benito Juarez added to Sanctorum de Lazaro    Cardenas; 
     o populations of Emiliano Zapata and Lázaro Cárdenas added to Terrenate; 
     o populations of La Magdalena Tlaltelulco and San Francisco Tetlanohcan are added to Chiautempan; 
     o populations of San Jerónimo Zacualpan and San Juan Huactzinco added to Tetlatlahuca; population of  San José Teacalco added to Cuaxomulco; 
     o population of San Lorenzo Axocomanitla added to Zacatelco; 
     o population of San Lucas Tecopilco added to Xalcotan; 
     o poulation of Santa Ana Nopalucan added to Ixtacuixtla de Mariano Matamoros; 
     o population of Santa Apolonia Teacalco added to Nativitas; populations of Santa Catarina Ayometla and Santa Cruz Quilehtla are added to Xicohtzingo; 
     o population of Santa Isabel Xiloxoxtla added to Tepeyanco; San Damián Texoloc, Panotla, Tetlahuca and Tlaxcala are merged and assigned a single, total population value. 
· In Veracruz Llave, population of Carlos A. Carrillo added to Cosamaloapan; Tatahuicapan de Juárez, Soteapan, and Mecayapan are merged and asssigned a single, total population value; population of Tres Valles added to Tierra Blanca; Uxnapa, Las Choapas, Minatitilan and Hidalgotitlan are merged and assigned a single, total population; population of El Hidalgo added to Tempoal; population of Lerdo de Tejada added to Alvarado; population of Agua Dulce added to Coatzacoalcos; and population of Nanchital de Lázaro Cárdenas del Río added to Ixhuatlan del Ssureste.  
· In Zacatecas, population of Trancoso are added to Guadalupe.  
· In Chihuahua, population of Gómez Farías added to Temosachi.   
· In Nayarit, population of Bahía de Banderas added to Compostella.  
· In Sinaloa, population of Navolato added to Culiacan.
",787,"18,326,722","3,859","101,779.88","Localities with 2,500 inhabitants or more.",465,"4,504",7,219.37,"102,005","18,210,260","5,051","135,851.78","63,171,077",5.25,64.87,74.60,458,7,0,0,"Celade, Latin American and Caribbean Demographic Centre (CELADE) - Population Division of Economic Commission for Latin America and the Caribbean; City Population, www.citypopulation.de; INEGI; INEGI, ftp.ciesin.org/pub/data/Mexico/urb.time.mex; World Gazetteer, www.gazetteer.de",Getty; INEGI; Map; NIMA; World Gazetteer
Montserrat,MSR,North America,2,507,50705,Caribbean,MS,500,10,4,103,0,,,,,,1,,,11,10,4,11,10,4,2.47,6.28,Digital Chart of the World (DCW).,"United Nations. ""World Population Prospects: 2000 Revision. Vol 1. Comprehensive Tables,"" UN: NY 2001. The values given are population estimates.",,,1,"2,000","2,000","2,000.00","Plymoth. Due to volcanic activity, the capital Plymouth was abandoned in 1997. The interim government buildings have been built at Brades, in the Carr's Bay/Little Bay vicinity at the northwest end of Montserrat.",,,,,,,,,,,,13.10,,,,,"National Statistical Office, Montserrat, National Statistical Office, Montserrat",GIS
Martinique,MTQ,North America,2,480,48005,Caribbean,MQ,474,34,383,"1,146",0,,,,,,1,,,360,372,383,360,372,383,-0.08,-0.10,Digital Chart of the World (DCW).,"United Nations. ""World Population Prospects: 2000 Revision. Vol 1. Comprehensive Tables,"" UN: NY 2001. The values given are population estimates.",,,32,"93,401","1,390","11,949.88","Total population of the Commune of Fort-de-France plus the agglomerations of the other communes with 2,000 inhabitants or more.",1,980,980,979.61,980,"353,811","353,811","353,811.00","353,811",85.45,92.29,95.20,1,0,0,0,"City Population, www.citypopulation.de",NIMA; World Gazetteer
Nicaragua,NIC,North America,2,558,55805,Central America,NI,558,29,37,"118,279",2,Departmento,Municipio,,,,144,1971,1995,"3,595","4,357","5,291","3,824","4,426","5,071",5.98,-4.33,"Mapa de la División Político Administrativa, 1997. Proyección Transversal de Mercator. Escala: 1:750000. ","Instituto Nacional de Estadística y Censos (INEI), 1996. Censos Nacionales 1995, Cifras Oficiales Finales. Managua, Nicaragua.",,"CEPAL's department level growth rate from 1971 to 1995 applied to 1995 population project to target years.
The following units are merged and their populations aggregated:
· In the Region Autonoma del Atlantico Sur - El Ayote merged with El Rama; El Tortugero merged with La cruz de Rio Grande; Corn Island merged with Laguna de Perlas.
· In Departamento de Chontales – San Francisco de Cuapa merged with Juigalpa; El Coral  merged with Villa Sandino.
· In Departamento de Jinotega – El Cua merged with San Jose de Bocay.
· In Departamento de Nueva Segovia – Wiwili de Nueva Segovia merged with Wiwili de Jinotega.
· In Departamento de Chinandega – SantoTomas del Norte merged with San Pedro del Norte.
· In Departamento de Managua -  El Crucero and Ciudad Sandino merged with Managua.
",40,"954,135","9,384","56,768.75",Administrative centres of depart_ments and municipios.,28,"1,221",2,98.48,"2,757","1,622,139","7,716","99,076.43","2,774,140",2.33,52.44,56.50,25,3,0,0,"Celade, Latin American and Caribbean Demographic Centre (CELADE) - Population Division of Economic Commission for Latin America and the Caribbean; City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",NIMA; World Gazetteer
Panama,PAN,North America,2,594,59405,Central America,PA,591,33,41,"74,515",2,Provincia,Municipio,,,,67,1990,2000,"2,255","2,488","2,764","2,398","2,631","2,856",5.98,3.23,"República de Panamá. Mapa Político. Instituto Geográfico Nacional ""TOMMY GUARDIA"". 1998. Escala: 1:1000000. ","2000 Population: Dirección de Estadística y Censos, DEC. X Censo Nacional de Población y VI de Vivienda 2000. http://contraloria.gob.pa/
1990 Population: Direccion de Estadistica y Censo Censos nacionales de Poblacion Y Vivienda 13 Mayo de 1990 Cifras Preliminarios Junio de 1990",,,40,"416,000","3,100","34,805.98","Localities with 1,500 inhabitants or more having the following urban characteristics: electricity, water-supply and sewerage systems, paved roads and access to commercial establish_ments, secondary schools and social and recrea_tional centres.",18,"1,276",26,174.44,"3,140","1,158,849","5,797","91,998.72","1,655,977",4.21,59.92,56.50,15,3,0,0,"Celade, Latin American and Caribbean Demographic Centre (CELADE) - Population Division of Economic Commission for Latin America and the Caribbean; World Gazetteer, www.gazetteer.de",Celade; World Gazetteer
Puerto Rico,PRI,North America,2,639,63905,Caribbean,PR,630,11,51,"8,985",2,,,,,,78,1990,1997,"3,522","3,724","3,974","3,528","3,718","3,915",0.17,-1.51,"US Census Bureau, http://www.census.gov/",US Census Bureau: 1990 Decennial Census and 1997 Population Estimates,,,217,"421,958","1,024","10,443.82","Places with 2,500 inhabitants or more and urbanized areas.",3,"6,558",23,"2,213.41","6,640","3,211,515","5,509","1,075,999.33","3,227,998",73.90,81.22,75.60,3,0,0,0,"2000 US Census, http://www.census.gov/geo/www/gazetteer/gazette.html",2000 US Census
El Salvador,SLV,North America,2,200,20005,Central America,SV,222,9,23,"20,279",2,Departmento,Municipio,,,,263,1992,2002,"4,940","5,427","5,983","5,112","5,670","6,278",3.36,4.70,"Dirección General de Estadística y Censos, Unidad de Cartografía 1987. Mapa de la República de El Salvador, División Político-Administrativa. Copia Heliográfica. Escala 1:200000. ","Dirección General de Estadística y Censos.   Censos de Población Y Vivienda,  1992 y 2002
",The names for departments and municipios should not be considered definitive. Users of this data may want to confirm individual names of the units. ,,44,"514,714","8,956","59,508.45",Administrative centres of municipios.,18,"1,494",32,184.76,"3,326","2,497,127","12,207","187,163.11","3,368,936",16.40,56.31,61.50,17,1,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",Map; NIMA; World Gazetteer
St-Pierre and Miquelon,SPM,North America,2,664,66405,Northern America,PM,666,9,2,227,1,Island,,,,,3,1990,1999,6,6,6,6,7,7,-4.62,9.71,Digital Chart of the World (DCW).,"City Population checked against national totals, http://www.citypopulation.de/StPierreMiquelon.html",Added island names from Le recensement de la population à Saint-Pierre-et-Miquelon. AOUT 2000 N° 731 (INSEE PDF),"A 1990–1999 population growth rate was calculated to extrapolate figures to the target years of 1990, 1995 and 2000.",1,"5,622","5,622","5,622.00",Saint-Pierre (capital city).,1,22,22,22.30,22,"5,571","5,571","5,571.00","5,571",9.81,88.15,92.20,1,0,0,0,"City Population, www.citypopulation.de",World Gazetteer
Turks and Caicos Islands,TCA,North America,2,791,79105,Caribbean,TC,796,23,17,548,0,,,,,,1,,,12,14,17,12,14,17,3.70,1.77,Digital Chart of the World (DCW).,"United Nations. ""World Population Prospects: 2000 Revision. Vol 1. Comprehensive Tables,"" UN: NY 2001. The values given are population estimates.",,,2,"4,800","1,500","3,150.00","Grand Turk (in 1990, including sur_rounding areas).",,,,,,,,,,,,45.60,,,,,"World Gazetteer, www.gazetteer.de",World Gazetteer
Trinidad and Tobago,TTO,North America,2,774,77405,Caribbean,TT,780,13,41,"5,202",2,County,Ward,,,,30,1990,2000,"1,177","1,200","1,225","1,215","1,262","1,294",3.14,5.33,"Republic of Trinidad & Tobago Central Statistical Office (CSO), 1988.","Ward (administrative level 2) data for 1990, Central Statistical Office, 1990 Population and Housing Census, Vol II(2), Demographic Report, 1994 Port of Spain.  The 1990 county and 2000 county and wards within St George County obtained from the Trinidad and Tobago Central Statistics Office 2000 Census Table 8 (http://www.cso.gov.tt/statistics/cssp/census2000/default.asp).","Administrative level 1 data is used for all counties except for St. George County, which is further broken down into 6 towns and suburbs. ","In 2000, the Port of Spain population was added to the population of Diego Martin and the Borough of Arima pop added to Arima.  ",21,"203,975","3,000","44,667.62","Port-of-Spain, Arima borough and San Fernando town.",3,"2,021",38,756.97,"2,271","1,046,097","19,635","369,538.00","1,108,614",43.65,90.49,74.50,3,0,0,0,"2000 Census Trinidad and Tobago, Central Statistical Office, www.cso.gov.tt/statistics/cssp/census2000/; World Gazetteer, www.gazetteer.de",NIMA; World Gazetteer
United States of America,USA,North America,2,860,86005,Northern America,US,840,12,5,"9,210,755",3,State,County,Tract,Block Group,,60904,1990,2000,"248,594","262,507","281,322","254,776","268,744","283,230",2.43,0.67,"CIESIN archive of Census Related Products (ACRP);1990 census tract boundary files based on TIGER 1992 files containing U.S. census geographies, http://sedac.ciesin.org/plue/cenguide.html .","US Census Bureau, Census Tract Relationship Files, http://www.census.gov/geo/www/relate/rel_tract.html .",,"1995 was interpolated by using growth rates based on 1990 and 2000 population values (census population counts for 1990 and 2000). Where values in 1990 or 2000 were zero, a proxy value of 1 was used to calculate the rates.
2005-2025 were estimated using growth rates based on US Census Bureau state-level population projections. Series 'A' projections were used from: http://www.census.gov/population/projections/state/stpjpop.txt and http://www.census.gov/population/www/projections/stproj.html","14,462","8,080,286","1,000","14,342.01","Places with 2,500 inhabitants or more and urbanized areas, that is, contiguous built_up territory around a larger city.","1,634","20,234",6,461.37,"753,884","19,015,360","5,004","140,072.58","228,878,602",8.18,81.36,77.40,"1,622",12,0,0,"1990 US Census, http://www.census.gov/geo/www/gazetteer/gazette.html; 2000 US Census, http://www.census.gov/geo/www/gazetteer/gazette.html",1990 US Census; 2000 US Census
St. Vincent,VCT,North America,2,665,66505,Caribbean,VC,670,21,113,453,0,,,,,,1,,,106,110,113,106,110,113,0.23,-0.25,Digital Chart of the World (DCW).,"United Nations. ""World Population Prospects: 2000 Revision. Vol 1. Comprehensive Tables,"" UN: NY 2001. The values given are population estimates.",,,6,"27,483","1,000","5,630.50",Not available.,2,119,13,66.06,132,"44,822","5,153","24,987.50","49,975",29.17,44.12,56.00,1,1,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",World Gazetteer
British Virgin Islands,VGB,North America,2,88,8805,Caribbean,VG,92,6,5,166,1,Islands,,,,,4,,,16,19,22,17,20,24,4.09,9.12,,The British Virgin Islands Welcome On-Line site: http://bviwelcome.com/,,Total population for 1990 and 1995 was distributed proportionately to the population figures for the four islands based on the rough figures. ,1,"9,634","9,634","9,634.00",Road Town and East End Long Look.,1,54,54,54.33,54,"13,310","13,310","13,310.00","13,310",32.68,61.02,62.00,1,0,0,0,"World Gazetteer, www.gazetteer.de",World Gazetteer
United States Virgin Islands,VIR,North America,2,864,86405,Caribbean,VI,850,3,3,374,2,County (Islands),Census Tracts,Block Groups,Blocks,,32,1990,2000,94,101,109,104,114,121,9.97,10.24,"US Census Bureau Cartographic Boundary Files, http://www.census.gov/geo/www/cob/ .","US Census Bureau 2000 census data, http://factfinder.census.gov/servlet/DatasetMainPageServlet .",,County level growth rate between 1990 and 2000 used to extrapolate to target years. ,8,"11,791","2,181","4,800.63","Places of 2,500 inhabitants or more and urbanized areas.",2,211,75,143.45,287,"56,452","47,714","52,083.00","104,166",76.71,95.91,46.70,2,0,0,0,"1990 US Census, http://www.census.gov/geo/www/gazetteer/gazette.html",1990 US Census
American Samoa,ASM,Oceania,6,24,2405,Polynesia,AS,16,6,11,198,1,District/Island,County,,,,5,1990,2000,47,52,57,47,57,68,0.48,15.75,"US Census Bureau, http://www.census.gov/geo/www/cob/co2000.html .","American Samoa, Department of Commerce, Statistics Division, http://www.amsamoa.com/statistics.htm .",,A population growth rate was calculated between 1990 and 2000 for extrapolation to target years.,15,"8,615","1,097","3,285.47","Places with 2,500 inhabitants or more and urbanized areas.",1,122,122,121.58,122,"59,680","59,680","59,680.00","59,680",61.34,104.17,53.20,1,0,0,0,"1990 US Census, http://www.census.gov/geo/www/gazetteer/gazette.ht",1990 US Census; USDI Map
Australia,AUS,Oceania,6,42,4205,Australia and New Zealand,AU,36,76,13,"7,634,648",4,State,Statistical Divisions,Statistical Subdivisions,Statistical Local Area (SLA),,1329,1996,2001,"16,643","17,660","17,704","16,888","18,072","19,138",1.45,7.49,"ESRI Australia, http://www.esriau.com.au/ .","1996 census data  for Statistical Local Area (SLA) population obtained from ESRI Australia, http://www.esriau.com.au/
State Level Population data from the Australian Bureau of Statistics:
* 2001 population from 2001 Census Basic Community Profiles and Snapshots,  http://www.abs.gov.au/ausstats/abs@census.nsf/Census_BCP_ASGC_ViewTemplate?ReadForm&Expand=1 
* 1996 population from 1996 Census of Population and Housing - Basic Community Profiles,  http://www.abs.gov.au/Web sitedbs/d3310108.nsf/f9996d24c8f22d024a256500001c8576/569af0d15c2201964a2565010007a32f!OpenDocument",,"1990 and 1995 population values based on SLA figures for 1996 and population for Statistical Subdivisions for 1991 obtained from the Australian Bureau of Statistics, www.abs.gov.au .
The State level growth rate between census years 1996 and 2001 are calculated and applied to 1995 SLA estimated population to extrapolate to target years.",224,"4,098,478","1,289","80,963.63","One or more census divisions with urban characteristics and representing a cluster of 1,000 people or more as well as known holiday re_sorts of less population if they contain 250 dwell_ings or more of which at least 100 were occupied on census night.",148,"3,117",6,246.70,"36,512","3,620,772","5,558","112,563.87","16,659,453",0.48,94.10,91.20,147,0,1,0,"Australian Demographic Statistics 2003, UN Statistical Library, hard copy; City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",Map; NIMA; World Gazetteer
Cook Islands,COK,Oceania,6,164,16405,Polynesia,CK,184,7,1,688,2,Group,Island,,,,15,1991,2001,19,19,18,18,19,20,-2.88,9.08,Digital Chart of the World (DCW).,"Cook Islands Statistics Office, http://www.spc.int/prism/country/CK/stats/ .","The Northern Cook Islands were manually digitized based-upon visual inspection and coordinates available at http://kiaorana.com/star/maps.html and the NOAA coastline extractor, World Vector Shoreline, http://rimmer.ngdc.noaa.gov/coast/getcoast.html . ",Rate between 1991 and 1996 used to estimate 1990 and 1995. Rate between 1996 and 2001 applied to project to additional target years.,1,"9,016","9,016","9,016.00",Island of Rarotonga.,1,56,56,56.46,56,"9,697","9,697","9,697.00","9,697",8.21,53.33,59.10,1,0,0,0,"World Gazetteer, www.gazetteer.de",Map; World Gazetteer
Fiji,FJI,Oceania,6,230,23005,Melanesia,FJ,242,35,54,"18,254",1,Province,,,,,15,1986,2001,738,769,812,724,768,814,-2.00,0.29,Fiji Land Processes Department.,"Population data provided by P. Naimila, Fiji Islands Bureau of Statistics, http://www.spc.int/prism/country/fj/stats/",,"National growth rates were computed using national population data from Fiji Statistics Agency for the years 1986–1996 and 1996–2001 and applied to 1996 province population to project/backast to 1990–1995, and 2000–2020 respectively.",15,"180,019","1,790","26,652.73","Places with 1,000 inhabitants or more.",7,"1,054",12,262.42,"1,837","174,442","5,575","54,313.57","380,195",10.06,46.84,50.20,6,1,0,0,"1996 Fiji Census of Population and Housing, UN Statistical Library, hard copy; World Gazetteer, www.gazetteer.de",World Gazetteer
Federated State of Micronesia,FSM,Oceania,6,227,22705,Micronesia,FM,583,13,27,675,1,Islands,,,,,4,1994,2000,104,106,107,94,108,123,-11.01,13.00,"Spatial data received via collaborative input-data exchange with the LandScan Project, http://www.ornl.gov/gist/ .","Population, 2000 Census Preliminary Count, from Government of the Federated States of Micronesia, http://www.fsmgov.org/info/people.html .",,"Applied the Island growth rates for 1994–2000, as estimated by the Government of the Federated States of Micronesia, to the 2000 Island population.",17,"13,900","1,297","4,474.82","Localities with 1,000 inhabitants or more.",,,,,,,,,,,,28.60,,,,,"1994 Federated States of Micronesia Census of Population, UN Statistical Library, hard copy; City Population, www.citypopulation.de",NIMA; World Gazetteer
Guam,GUM,Oceania,6,298,29805,Micronesia,GU,316,2,1,546,3,County,Tract,Block Group,,,203,,2000,134,144,155,134,145,155,0.30,0.13,US Census Bureau Cartographic Boundary files.,US Census SF1 files (census 2000 counts).,,Population data were extrapolated to target years of 1990 and 1995 using growth rates derived from United Nations national level estimates and projections.,27,"12,501","1,122","3,620.67","Places with 2,500 inhabitants or more and urbanized areas.",1,518,518,518.43,518,"150,463","150,463","150,463.00","150,463",94.94,97.20,39.50,1,0,0,0,"1990 US Census, http://www.census.gov/geo/www/gazetteer/gazette.ht",1990 US Census
Kiribati,KIR,Oceania,6,387,38705,Micronesia,KI,296,6,3,"1,073",2,Island Group,Island,,,,28,1990,2000,72,78,84,72,77,83,-0.47,-1.80,"The Island boundary data were obtained from the World Vector Shoreline, http://www.ngdc.noaa.gov/mgg/shorelines/shorelines.html .","Census Population by Island: 1990, 1995, 2000 obtained from Statistics Office, Republic of Kiribati, http://www.spc.int/prism/Country/KI/Stats/census.htm .","Polygons for the small islands of Banaba and Kuria part of the Gilbert Islands were added to the shapefile based on the interactive map as shown on the The Times Atlas of the World, 10th Edition, published by Crown Publishers, NY. Because these islands were rendered in a generalized way, they are not considered to be acurately georeferenced.",,17,"6,445","1,530","2,833.35",South Tarawa (capital city).,2,2,2,2.30,5,"5,367","5,344","5,355.50","10,711",0.43,12.68,38.60,0,2,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",Map; World Gazetteer
Marshall Islands,MHL,Oceania,6,481,48105,Micronesia,MH,584,15,51,219,0,Island Group,Island,,,,1,,,44,48,51,44,48,51,-0.94,-0.27,Digital Chart of the World (DCW).,"United Nations population estimates. ""World Population Prospects: 2000 Revision. Vol 1. Comprehensive Tables,"" UN: NY 2001.",,,2,"19,633","9,443","14,538.00",The entire population of Majuro At_oll and the town of Ebeye Island on Kwajalein Atoll.,1,4,4,3.80,4,"16,264","16,264","16,264.00","16,264",1.74,31.80,66.00,1,0,0,0,"City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",Map; World Gazetteer
Northern Mariana Islands,MNP,Oceania,6,583,58305,Micronesia,MP,580,3,1,466,3,County,Tract,Block Group,Block,,72,,2000,42,55,69,44,58,73,4.82,5.18,US Census Bureau Cartographic Boundary Files,"Census 2000 Summary File for the Commonwealth of the Northern Mariana Islands. US Census Bureau.
",,Population data were extrapolated to target years of 1990 and 1995 using growth rates derived from United Nations national level estimates and projections.,14,"8,297","1,785","3,871.21","Places with 1,000 inhabitants or more.",1,108,108,107.52,108,"58,571","58,571","58,571.00","58,571",23.07,84.61,52.80,1,0,0,0,"1990 US Census, http://www.census.gov/geo/www/gazetteer/gazette.ht",1990 US Census; Map
New Caledonia,NCL,Oceania,6,542,54205,Melanesia,NC,540,52,31,"18,837",2,Province,Island,,,,7,1989,1996,168,192,218,171,193,215,1.48,-1.59,Digital Chart of the World (DCW).,"Roos, William. 1997. Recensement de la Population de la Nouvelle-Calédonie.  INSEE Premiere, N° 506 - JANVIER 1997.  National Institute of Statistics and Economic Studies (INSEE), France. ","The following units were aggregated to the island of Nouvelle Caledonie: Bouloupari, Bourail, Canala, Dumbea, Farino, Hienghene, Houailou, Kaala-Gomen, Kone, Koumac, La Foa, Moindou, Mont Dore, Ouegoa, Paita, Poindimie, Ponerihouen, Pouebo, Pouembout, Poum, Poya, Sarramea, Thio, Touho, Vou, Yate, Kouaoua. A separate polygon for Noumea was created using ""split with line"" in AV 3.2.",,10,"83,525","2,692","15,587.40","Urban agglomeration of Noumea (in_cluding Dumbea, Mont-Dore and Paita) and other urban localities (Bourail, Kone, Koumac, La Foa, Poindime and Thio).",1,209,209,208.76,209,"123,174","123,174","123,174.00","123,174",1.11,56.39,78.10,1,0,0,0,"New Caledonia Facts and Figures 2000, UN Statistical Library, hard copy",World Gazetteer
Niue,NIU,Oceania,6,580,58005,Polynesia,NU,570,16,2,267,0,,,,,,1,1991,2001,2,2,2,2,2,2,-14.50,7.15,Digital Chart of the World (DCW).,"Niue 2001 Census of Population and Housing Report. Statistics Niue, http://www.gov.nu/stats/Census2001/Summary.htm .",,,,,,,N/A,,,,,,,,,,,,33.10,,,,,,
Nauru,NRU,Oceania,6,522,52205,Micronesia,NR,520,4,12,18,0,,,,,,1,,,10,11,12,9,11,12,-6.16,4.17,Digital Chart of the World (DCW).,"The 1990 and 1995 population are from the UN World Population Prospects, 1998 Revision, United Nations Population Division, New York.
Ryan and Stepanoff (2000) project the total population of Nauru to reach 11,500 in 2000. (Ryan, C. and T. Stepanoff. 2000. Selected Pacific Economies: A Statistical Summary. Volume 15. SPC, Noumea.) The reference found via adb.org, publication, ""The Contribution of Fisheries to the Economies of Pacific Island Countries""
",,,1,"4,469","4,469","4,469.00",N/A,1,16,16,15.65,16,"10,411","10,411","10,411.00","10,411",85.32,90.53,100.00,1,0,0,0,,
New Zealand,NZL,Oceania,6,554,55405,Australia and New Zealand,NZ,554,27,10,"265,334",2,District/ City,Ward,,,,371,1991,2001,"3,341","3,580","3,772","3,360","3,604","3,778",0.57,0.17,Ward level boundary coverage obtained from Statistics New Zealand.,"1991, 1996 and 2001 census population data obtained from Statistics New Zealand. Downloaded from http://www.stats.govt.nz/domino/external/pasfull/pasfull.nsf/web/Standard+Tables+2001+Census+of+Population+and+Dwellings%3A+Final+Counts+2001?open",,"The Census population values used are based on ""Usually resident population.""  Ward (administrative level 2) population data for 2001 are not available. Thus, a District (administrative level 1) growth rate between 1991 and 2001 was used to extrapolate the Ward (administrative level 2) population to target years.",113,"355,100","1,195","29,205.27","Twenty-four urban areas plus all boroughs, town districts, townships and country towns with a population of 1,000 or more.",46,944,39,175.86,"8,089","1,028,644","5,129","65,234.96","3,000,808",3.05,79.56,85.90,46,0,0,0,"2001 New Zealand Census of Population and Dwellings, UN Statistical Library, hard copy; City Population, www.citypopulation.de; World Gazetteer, www.gazetteer.de",Getty; Map; NIMA; World Gazetteer
Pitcairn,PCN,Oceania,6,616,61605,Polynesia,PN,612,6,0,41,0,,,,,,1,1990,2000,0.066,0.057,0.068,0.066,0.057,0.068,0,0,Digital Chart of the World (DCW).,"United Nations population estimates:  ""World Population Prospects: 2000 Revision. Vol 1. Comprehensive Tables,"" UN: NY 2001.",,,,,,,N/A,,,,,,,,,,,,N/A,,,,,,
